system_metadata.id,organisation.country,organisation.url,repository_metadata.software.name,repository_metadata.metadata_record_count,repository_metadata.type,repository_metadata.url,repository_metadata.full_text_record_count,repository_metadata.oai_url,system_metadata.uri,repository_metadata.software.name_other
2,ch,https://www.unisg.ch,eprints,43608.0,institutional,http://www.alexandria.unisg.ch/,0.0,https://www.alexandria.unisg.ch/cgi/oai2,https://v2.sherpa.ac.uk/id/repository/2,
3,it,http://www.unibo.it,eprints,5058.0,institutional,http://amsacta.unibo.it,4471.0,http://amsacta.unibo.it/cgi/oai2,https://v2.sherpa.ac.uk/id/repository/3,
5,gb,https://www.lincoln.ac.uk,eprints,18422.0,institutional,https://eprints.lincoln.ac.uk,,https://eprints.lincoln.ac.uk/cgi/oai2,https://v2.sherpa.ac.uk/id/repository/5,
7,fr,http://www.ifremer.fr,,26734.0,institutional,http://archimer.ifremer.fr,,http://www.ifremer.fr/docelec/oai/OAIHandler,https://v2.sherpa.ac.uk/id/repository/7,
8,fr,https://www.ccsd.cnrs.fr,hal,1787.0,institutional,http://edutice.archives-ouvertes.fr/,0.0,https://api.archives-ouvertes.fr/oai/edutice,https://v2.sherpa.ac.uk/id/repository/8,
10,fr,https://www.unistra.fr,eprints,1826.0,institutional,http://eprints-scd-ulp.u-strasbg.fr/,0.0,http://eprints-scd-ulp.u-strasbg.fr/perl/oai2,https://v2.sherpa.ac.uk/id/repository/10,
13,de,https://www.uni-marburg.de,opus,17025.0,institutional,https://archiv.ub.uni-marburg.de/ubfind/,8833.0,http://archiv.ub.uni-marburg.de/oai/provider,https://v2.sherpa.ac.uk/id/repository/13,
17,au,http://www.unsw.edu.au/,dspace,28312.0,institutional,http://unsworks.unsw.edu.au,,,https://v2.sherpa.ac.uk/id/repository/17,
24,no,https://www.uib.no,dspace,14319.0,institutional,https://bora.uib.no,,https://bora.uib.no/bora-oai,https://v2.sherpa.ac.uk/id/repository/24,
25,co,http://www.uao.edu.co/,dspace,5405.0,institutional,http://red.uao.edu.co/,,http://red.uao.edu.co/oai/request,https://v2.sherpa.ac.uk/id/repository/25,
26,br,http://www.usp.br,,76984.0,institutional,https://teses.usp.br/,,,https://v2.sherpa.ac.uk/id/repository/26,
30,gb,https://www.bbk.ac.uk,eprints,25775.0,institutional,https://eprints.bbk.ac.uk,6899.0,https://eprints.bbk.ac.uk/cgi/oai2,https://v2.sherpa.ac.uk/id/repository/30,
35,it,http://www.unime.it,other,209037.0,institutional,http://cab.unime.it,,,https://v2.sherpa.ac.uk/id/repository/35,CDSWare and Apache
38,us,http://www.caltech.edu/,eprints,96998.0,institutional,http://authors.library.caltech.edu/,66006.0,http://authors.library.caltech.edu/cgi/oai2,https://v2.sherpa.ac.uk/id/repository/38,
40,us,http://www.caltech.edu/,eprints,10399.0,institutional,https://thesis.library.caltech.edu/,9072.0,http://thesis.library.caltech.edu/cgi/oai2,https://v2.sherpa.ac.uk/id/repository/40,
54,gb,http://www.cam.ac.uk,other,922.0,institutional,https://www.cl.cam.ac.uk/techreports,,http://www.cl.cam.ac.uk/techreports/UCAM-CL-TR-OAI-SR.xml,https://v2.sherpa.ac.uk/id/repository/54,HTML
55,gb,https://www.cardiff.ac.uk,eprints,111222.0,institutional,http://orca.cf.ac.uk,34539.0,http://orca.cf.ac.uk/cgi/oai2,https://v2.sherpa.ac.uk/id/repository/55,
57,gb,http://www.stfc.ac.uk/,other,54108.0,institutional,https://epubs.stfc.ac.uk/,228.0,https://epubs.stfc.ac.uk/oai/,https://v2.sherpa.ac.uk/id/repository/57,Cocoon
58,fr,https://www.ccsd.cnrs.fr,hal,1137498.0,institutional,https://archivesic.ccsd.cnrs.fr,55492.0,https://api.archives-ouvertes.fr/oai/archivesic,https://v2.sherpa.ac.uk/id/repository/58,
59,fr,http://www.institutnicod.org/,hal,1375.0,institutional,http://jeannicod.ccsd.cnrs.fr/,641.0,https://api.archives-ouvertes.fr/oai/jeannicod,https://v2.sherpa.ac.uk/id/repository/59,
61,us,http://www.ccsu.edu/,drupal,5451.0,institutional,https://collections.ctdigitalarchive.org/islandora/object/530002%3ACCSU,,,https://v2.sherpa.ac.uk/id/repository/61,
63,hu,https://www.ceu.edu,eprints,9.0,institutional,http://ceu.archives.ceu.hu/,,http://ceu.archives.ceu.hu/perl/oai2,https://v2.sherpa.ac.uk/id/repository/63,
64,hu,https://www.ceu.edu,eprints,164.0,institutional,http://rss.archives.ceu.hu/,,http://rss.archives.ceu.hu/perl/oai2,https://v2.sherpa.ac.uk/id/repository/64,
66,fr,http://www.insa-lyon.fr/,,1028.0,institutional,https://theses.insa-lyon.fr/,,http://docinsa.insa-lyon.fr/oai/oai2.php,https://v2.sherpa.ac.uk/id/repository/66,
