,full_query_x,manual_software_count_x,category_x,clickable_url,Unnamed: 0,system_metadata_id,organisation_country,organisation_url,repository_metadata_software_name,repository_metadata_metadata_record_count,repository_metadata_type,repository_metadata_url,manual_software_count_y,url_check,category_y,full_query_y,repository_metadata_full_text_record_count,repository_metadata_oai_url,system_metadata_uri,repository_metadata_software_name_other
0,,,,kanazawa-u.repo.nii.ac.jp/,334,601,jp,http://www.kanazawa-u.ac.jp/,weko,42085.0,institutional,https://kanazawa-u.repo.nii.ac.jp/,1.0,200,Contains software,https://kanazawa-u.repo.nii.ac.jp/?action=pages_view_main&active_action=repository_view_main_item_snippet&meta=&title=&creator=&typeList=12&idDes=&idList=&jtitle=&pubYearFrom=&pubYearUntil=&idx=&wekoAuthorId=&count=20&order=17&pn=1&page_id=13&block_id=21,,http://kanazawa-u.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/601,
1,,,,t2r2.star.titech.ac.jp/index_en.html,4714,9791,jp,https://www.titech.ac.jp/english,t2r2システム,,institutional,https://t2r2.star.titech.ac.jp/index_en.html,13.0,200,Contains software,https://t2r2.star.titech.ac.jp/cgi-bin/publicationsearchresult.cgi,,http://t2r2.star.titech.ac.jp/oaipmh/OAIHandler,https://v2.sherpa.ac.uk/id/repository/9791,T2R2システム
2,,,,grips.repo.nii.ac.jp/,2213,3209,jp,http://www.grips.ac.jp/,weko,1284.0,institutional,https://grips.repo.nii.ac.jp/,2.0,200,Contains software,https://grips.repo.nii.ac.jp/search?page=1&size=20&sort=-createdate&search_type=0&q=&title=&creator=&type=43&wid=&iid=&float_range1_from=&float_range1_to=&geo_point1_lat=&geo_point1_lon=&geo_point1_distance=,729.0,http://grips.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/3209,
3,,,,ir.kagoshima-u.ac.jp/?lang=en,523,964,jp,http://www.kagoshima-u.ac.jp/,weko,13006.0,institutional,http://ir.kagoshima-u.ac.jp/?lang=en,0.0,200,Does not contain software,https://ir.kagoshima-u.ac.jp/?action=pages_view_main&active_action=repository_view_main_item_snippet&all=&title=&creator=&typeList=12&jtitle=&idx=&wekoAuthorId=&count=50&order=17&pn=1&page_id=15&block_id=22,10674.0,http://ir.kagoshima-u.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/964,
4,,,,tsukuba.repo.nii.ac.jp/,312,569,jp,http://www.tsukuba.ac.jp/,weko,41208.0,institutional,http://tsukuba.repo.nii.ac.jp/,0.0,200,Does not contain software,https://tsukuba.repo.nii.ac.jp/search?page=1&size=20&sort=-createdate&search_type=0&q=&title=&creator=&filedate_from=&filedate_to=&fd_attr=&srctitle=&type=43&dategranted_from=&dategranted_to=&dissno=&wid=,,http://tsukuba.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/569,
5,,,,yamato-u.repo.nii.ac.jp,4811,9910,jp,https://www.yamato-u.ac.jp/,weko,,institutional,http://yamato-u.repo.nii.ac.jp,0.0,200,Does not contain software,https://yamato-u.repo.nii.ac.jp/search?page=1&size=20&sort=-createdate&search_type=0&q=&title=&creator=&subject=&sbjscheme=&spatial=&des=&publisher=&cname=&filedate_from=&filedate_to=&fd_attr=&mimetype=&id=&id_attr=&srctitle=&type=43&itemtype=&lang=&temporal=&dategranted_from=&dategranted_to=&version=&dissno=&degreename=&dgname=&wid=&iid=&license=&text1=&float_range1_from=&float_range1_to=&geo_point1_lat=&geo_point1_lon=&geo_point1_distance=,,http://yamato-u.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/9910,
6,,,,akitan.repo.nii.ac.jp,4814,9913,jp,https://www.akikusa.ac.jp/akitan/,weko,,institutional,https://akitan.repo.nii.ac.jp,0.0,200,Does not contain software,https://akitan.repo.nii.ac.jp/search?page=1&size=50&sort=-createdate&search_type=0&q=&title=&creator=&subject=&sbjscheme=&spatial=&des=&publisher=&cname=&filedate_from=&filedate_to=&fd_attr=&mimetype=&id=&id_attr=&srctitle=&type=&itemtype=Software&lang=&temporal=&dategranted_from=&dategranted_to=&version=&dissno=&degreename=&dgname=&wid=&iid=&license=&text1=&float_range1_from=&float_range1_to=&geo_point1_lat=&geo_point1_lon=&geo_point1_distance=,,http://akitan.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/9913,
7,,,,hirosaki.repo.nii.ac.jp/,516,950,jp,http://www.hirosaki-u.ac.jp/,weko,5241.0,institutional,https://hirosaki.repo.nii.ac.jp/,0.0,200,Does not contain software,https://hirosaki.repo.nii.ac.jp/?action=pages_view_main&active_action=repository_view_main_item_snippet&all=&title=&creator=&typeList=12&pubYearFrom=&pubYearUntil=&idx=&wekoAuthorId=&count=20&order=17&pn=1&page_id=13&block_id=33,4.0,http://hirosaki.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/950,
8,,,,iuj.repo.nii.ac.jp,4769,9860,jp,https://www.iuj.ac.jp/,,,institutional,https://iuj.repo.nii.ac.jp,0.0,200,Does not contain software,https://iuj.repo.nii.ac.jp/search?page=1&size=20&sort=-createdate&search_type=0&q=&title=&creator=&subject=&sbjscheme=&spatial=&des=&publisher=&cname=&filedate_from=&filedate_to=&fd_attr=&mimetype=&id=&id_attr=&srctitle=&type=43&itemtype=&lang=&temporal=&dategranted_from=&dategranted_to=&version=&dissno=&degreename=&dgname=&wid=&iid=&license=&text1=&float_range1_from=&float_range1_to=&geo_point1_lat=&geo_point1_lon=&geo_point1_distance=,,https://iuj.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/9860,
9,,,,kumadai.repo.nii.ac.jp/,426,797,jp,http://www.kumamoto-u.ac.jp/,weko,14287.0,institutional,https://kumadai.repo.nii.ac.jp/,0.0,200,Does not contain software,https://kumadai.repo.nii.ac.jp/?action=pages_view_main&active_action=repository_view_main_item_snippet&all=&title=&creator=&typeList=12&pubYearFrom=&pubYearUntil=&idx=&count=50&order=17&pn=1&page_id=13&block_id=21,,https://kumadai.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/797,
10,,,,kwassui.repo.nii.ac.jp,4817,9916,jp,http://kwassui-int.ac.jp/,weko,,institutional,https://kwassui.repo.nii.ac.jp,0.0,ConnectionError,Does not contain software,https://kwassui.repo.nii.ac.jp/search?page=1&size=20&sort=-createdate&search_type=0&q=&title=&creator=&subject=&sbjscheme=&spatial=&des=&publisher=&cname=&filedate_from=&filedate_to=&fd_attr=&mimetype=&id=&id_attr=&srctitle=&type=43&itemtype=&lang=&temporal=&dategranted_from=&dategranted_to=&version=&dissno=&degreename=&dgname=&wid=&iid=&license=&text1=&float_range1_from=&float_range1_to=&geo_point1_lat=&geo_point1_lon=&geo_point1_distance=,,http://kwassui.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/9916,
11,,,,mie-u.repo.nii.ac.jp/,531,973,jp,http://www.mie-u.ac.jp/,weko,11928.0,institutional,https://mie-u.repo.nii.ac.jp/,0.0,200,Does not contain software,https://mie-u.repo.nii.ac.jp/?action=pages_view_main&active_action=repository_view_main_item_snippet&all=&title=&creator=&typeList=12&pubYearFrom=&pubYearUntil=&idx=&wekoAuthorId=&count=20&order=7&pn=1&page_id=13&block_id=21,0.0,http://mie-u.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/973,
12,,,,nagoya.repo.nii.ac.jp/?lang=english,285,523,jp,http://www.nagoya-u.ac.jp/,weko,100.0,institutional,https://nagoya.repo.nii.ac.jp/?lang=english,0.0,200,Does not contain software,https://nagoya.repo.nii.ac.jp/search?page=1&size=20&sort=-createdate&search_type=0&q=&title=&creator=&filedate_from=&filedate_to=&fd_attr=&id=&id_attr=&srctitle=&type=43&dissno=&lang=english,69.0,http://nagoya.repo.nii.ac.jp/oai,https://v2.sherpa.ac.uk/id/repository/523,
